"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT13","WT14","WT16","WT18","WT22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-13","6.26","0.09","0.0","0.0","45","38","    1",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-14","3.80","0.31","0.0","0.0","43","34","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-15","11.41","0.21","0.0","0.0","40","33","    1",,,,,,,"    1",,"    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-16","12.30","0.89","0.0","0.0","44","38","    1",,,,,,,"    1",,"    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-17","21.25","0.08","0.0","0.0","47","35",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-18","11.86","0.13","0.6","1.0","39","33","    1",,,,,,,"    1",,"    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-19","12.97","0.54","0.0","0.0","47","35",,,,,,,,,,"    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-20","8.28","0.52","0.0","0.0","45","33","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-21","3.80","0.07","0.0","0.0","47","29",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-22","7.83","0.13","0.0","0.0","47","39","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-23","5.59","0.26","0.0","0.0","45","38","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-24","6.26","0.01","0.0","0.0","42","37","    1",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-25","9.40","0.53","0.0","0.0","42","37","    1",,,,,,,"    1",,"    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-26","10.96","0.18","0.0","0.0","44","38","    1",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-27","7.16","0.16","0.0","0.0","46","38","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-28","3.80","0.00","0.0","0.0","47","39",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-29","3.80","0.06","0.0","0.0","41","38","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-30","4.03","0.00","0.0","0.0","40","32","    1","    1",,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-31","4.47","0.00","0.0","0.0","38","30",,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-01","6.04","0.00","0.0","0.0","41","27",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-02","7.16","0.00","0.0","0.0","43","30",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-03","6.71","0.16","0.0","0.0","44","29","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-04","6.26","0.10","0.0","0.0","50","36","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-05","6.93","0.12","0.0","0.0","44","40","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-06","6.71","0.08","0.0","0.0","45","37","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-07","16.33","0.09","0.0","0.0","50","40",,,,,,"    1",,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-08","14.09","0.64","0.0","0.0","53","42","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-09","11.41","1.51","0.0","0.0","50","35","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-10","4.70","0.01","0.0","0.0","38","31",,"    1",,,,,,,,"    1","    1","    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-11","4.25","0.00","0.0","0.0","37","27",,"    1",,,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-12","4.47","0.00","0.0","0.0","37","25",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-13","3.36","0.00","0.0","0.0","36","24",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-14","2.91","0.00","0.0","0.0","38","28",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-15","5.14","0.00","0.0","0.0","44","31",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-16","4.03","0.00","0.0","0.0","43","25",,"    1",,,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-17","2.24","0.00","0.0","0.0","39","27",,"    1",,,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-18","2.91","0.00","0.0","0.0","38","30",,"    1",,,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-19","4.25","0.00","0.0","0.0","34","31","    1","    1",,,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-20","4.70","0.00","0.0","0.0","38","31",,"    1",,,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-21","2.46","0.00","0.0","0.0","36","29",,"    1",,,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-22","1.34","0.00","0.0","0.0","38","29",,"    1",,,,"    1",,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-23","6.93","0.20","0.0","0.0","45","36","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-24","5.82","0.23","0.0","0.0","45","34","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-25","4.70","0.12","0.0","0.0","51","37","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-26","10.07","0.09","0.0","0.0","47","39","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-27","10.07","0.07","0.0","0.0","42","39","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-28","7.16","0.31","0.0","0.0","43","38","    1",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-29","8.72","0.17","0.0","0.0","47","41","    1",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-30","8.72","0.14","0.0","0.0","48","44",,,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-31","8.95","0.12","0.0","0.0","49","45",,,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-01","6.49","0.01","0.0","0.0","53","41","    1",,,,,"    1",,,"    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-02","4.47","0.00","0.0","0.0","43","37","    1","    1",,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-03","6.49","0.09","0.0","0.0","48","37",,"    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-04","5.82","0.00","0.0","0.0","51","44",,,,,,"    1",,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-05","11.41","0.13","0.0","0.0","50","44","    1",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-06","10.07","0.04","0.0","0.0","51","43",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-07","9.17","0.05","0.0","0.0","49","38",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-08","2.91","0.00","0.0","0.0","46","36",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-09","2.91","0.01","0.0","0.0","47","40","    1",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-10","4.47","0.00","0.0","0.0","48","35","    1","    1",,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-11","3.13","0.01","0.0","0.0","47","40","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-12","12.53","0.04","0.0","0.0","52","45","    1",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-13","9.17","0.09","0.0","0.0","49","45","    1",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-14","4.92","0.04","0.0","0.0","49","42",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-15","5.37","0.00","0.0","0.0","56","41",,"    1",,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-16","12.53","0.00","0.0","0.0","52","39","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-17","7.61","0.00","0.0","0.0","49","40",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-18","4.25","0.00","0.0","0.0","46","39",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-19","7.61","0.00","0.0","0.0","51","35",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-20","4.70","0.06","0.0","0.0","46","34",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-21","13.87","0.02","0.0","0.0","44","39","    1",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-22","18.12","0.37","0.0","0.0","46","39","    1",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-23","10.29","0.01","0.0","0.0","50","39",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-24","12.30","0.00","0.0","0.0","48","41",,,,,,,,,"    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-25","15.88","0.09","0.0","0.0","51","38",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-26","8.50","0.02","0.0","0.0","48","39",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-27","4.03","0.18","0.0","0.0","50","40","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-28","8.50","0.32","0.0","0.0","53","44","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-01","12.08","0.16","0.0","0.0","59","52","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-02","10.07","0.03","0.0","0.0","57","41",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-03","6.26","0.00","0.0","0.0","52","36",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-04","8.72","0.00","0.0","0.0","56","32",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-05","5.37","0.00","0.0","0.0","49","43",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-06","9.17","0.47","0.0","0.0","45","41","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-07","5.59","0.29","0.0","0.0","54","41","    1","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-08","5.82","0.00","0.0","0.0","53","36","    1","    1",,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-09","2.91","0.00","0.0","0.0","55","34","    1","    1",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-10","3.58","0.03","0.0","0.0","46","39",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-11","2.46","0.05","0.0","0.0","51","43","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-12","12.75","0.08","0.0","0.0","55","50",,,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-13","8.28","0.09","0.0","0.0","53","49","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-14","6.71","0.11","0.0","0.0","53","49","    1",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-15","9.62","0.00","0.0","0.0","58","48","    1",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-16","14.32","0.17","0.0","0.0","51","40","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-03-17","13.65","0.00","0.0","0.0","48","39",,,,,,,,,,,,
